step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
470.0,-0.15249999999999997,19,26,0,14,166,192,0,682.0,26.23076923076923,5.132686983174663,0,0.0,0.867365554707502,0,0.0,1.0,0,2.0,0.985772389123684,14,714.0,5.127790192874107e-06,14,716.0
475.0,-0.17750000000000005,20,28,0,15,166,194,0,753.0,26.892857142857142,5.647368405067894,1,1.0,0.8002022631740074,0,2.0,0.8745149112514425,0,0.0,0.3284117113078278,14,784.0,0.0,15,787.0
480.0,-0.18749999999999983,21,29,0,15,168,197,0,828.0,28.551724137931036,5.91369818768139,1,6.0,0.8132634024830653,0,2.0,0.86176741801775,0,0.0,1.0,14,854.0,0.0,15,862.0
485.0,-0.19000000000000028,22,28,0,16,169,197,0,906.0,32.357142857142854,4.865615335138366,2,14.0,0.49407587814964077,0,0.0,0.87934686906646,0,0.0,1.0,14,924.0,0.057917915767479324,16,938.0
490.0,-0.16499999999999976,23,29,0,16,170,199,0,964.0,33.241379310344826,3.737186862512096,1,9.0,0.09215040067490629,0,0.0,0.8488480189502647,0,0.0,0.7980225201656562,15,995.0,1.8684730603392827e-05,16,1004.0
495.0,-0.185,24,30,0,16,171,201,0,1043.0,34.766666666666666,5.3937744262310074,1,6.0,0.5928054362464956,0,0.0,0.6522932300897395,0,2.0,0.9065906087365784,15,1070.0,0.0,16,1078.0
500.0,-0.1825,25,29,0,17,172,201,0,1117.0,38.51724137931034,4.82657681196687,1,2.0,0.6250888750970671,1,2.0,0.00031765119441364665,0,2.0,0.888674359061016,15,1145.0,0.0,17,1151.0
505.0,-0.22,26,30,0,18,173,203,0,1203.0,40.1,3.745946521361946,1,7.0,0.3401261236508857,1,9.0,0.7191016056968402,1,3.0,0.25282225264976205,15,1220.0,0.09691719000464932,18,1239.0
510.0,-0.1650000000000004,27,30,0,17,175,205,0,1265.0,42.166666666666664,3.505599239499347,0,2.0,0.6912663197578298,0,2.0,0.9157199191525257,1,5.0,0.3131371706991589,16,1296.0,0.0011178441103243935,17,1305.0
515.0,-0.19499999999999995,28,34,0,17,175,209,0,1348.0,39.64705882352941,5.526338696135656,0,0.0,0.7348398050468742,0,0.0,0.022605913467735033,0,3.0,0.7822110292260341,17,1380.0,0.0,17,1383.0
520.0,0.22000000000000025,29,38,0,14,175,213,0,935.0,24.605263157894736,7.053642907749056,0,0.0,0.9435868920904964,0,0.0,0.942352316089184,0,2.0,0.8685090813332836,14,1293.0,0.020438397170446564,14,1295.0
525.0,0.6699999999999999,30,35,0,10,179,214,0,451.0,12.885714285714286,6.6017716305428396,0,0.0,0.8572549050114062,0,0.0,0.9561554612877557,1,3.0,0.16973565390277054,9,1024.0,0.16642809457216412,10,1027.0
530.0,0.805,31,32,0,8,182,214,0,301.0,9.40625,5.677560591821544,0,0.0,0.4450477527172966,0,0.0,0.06095777576339352,3,14.0,0.0005276117455910268,5,691.0,0.2560267726316741,8,705.0
535.0,0.5575000000000001,32,32,0,7,183,215,0,301.0,9.40625,6.9089072487120715,1,3.0,0.019026879644002202,1,3.0,0.47823321926097023,0,13.0,0.6061484030154071,5,463.0,0.25690472214087773,7,482.0
540.0,0.2124999999999999,33,29,0,6,187,216,0,323.0,11.137931034482758,8.656736233082148,0,2.0,0.6028045041024954,0,0.0,0.8538475901411525,0,0.0,0.9725831829022974,6,395.0,0.34622119560727244,6,397.0
545.0,0.020000000000000018,34,31,0,6,190,221,0,353.0,11.387096774193548,8.864488159239095,0,0.0,0.968928749550709,0,2.0,0.9122705868824385,0,0.0,0.4741134867242452,6,387.0,0.33603764132259684,6,389.0
550.0,0.1675,34,29,0,7,194,223,0,130.0,4.482758620689655,7.302236717979623,1,1.0,0.6207250286148743,0,2.0,0.9194858321081447,3,11.0,0.4378885914472912,3,308.0,0.0946082854307433,7,322.0
555.0,0.4225,34,27,0,2,198,225,0,10.0,0.37037037037037035,8.236722720502254,1,6.0,0.5013229275584842,0,0.0,0.7460961548845816,0,13.0,0.42957328402254874,1,134.0,0.22189393016089146,2,153.0
560.0,0.3325,34,27,0,3,201,228,0,15.0,0.5555555555555556,9.817234451077365,0,0.0,0.7564669272846957,0,0.0,0.5997687397660475,2,6.0,0.3265841357212481,1,14.0,0.429664127091306,3,20.0
565.0,0.0125,34,26,0,1,205,231,0,1.0,0.038461538461538464,10.119081726452773,0,0.0,0.8816763402403449,0,2.0,0.891726179844666,0,7.0,0.3430482477161314,1,6.0,0.464738539311693,1,15.0
570.0,-0.0175,34,25,0,3,209,234,0,13.0,0.52,11.078373643592183,0,0.0,0.8791154209620103,0,2.0,0.9546181072347028,1,3.0,0.6394579647923996,2,17.0,0.607246137722824,3,22.0
575.0,0.015000000000000001,34,27,0,3,212,239,0,4.0,0.14814814814814814,8.731205052102139,1,2.0,0.6259373106764751,1,1.0,0.6821298075094665,0,0.0,0.7661801623774457,1,13.0,0.41407896651753145,3,16.0
580.0,0.015000000000000003,34,27,0,1,213,240,0,2.0,0.07407407407407407,8.288941783576623,0,3.0,0.5006794862017774,0,2.0,0.5382855026634443,1,2.0,0.6427512499831823,0,3.0,0.30890107202801115,1,10.0
585.0,-0.03,34,27,0,5,214,241,0,16.0,0.5925925925925926,8.575327582593735,2,8.0,0.01594196882853606,0,2.0,0.7992846856733052,0,0.0,0.7431159810241389,3,12.0,0.3643120512610121,5,22.0
