step,reward,scaled_training_reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
300.0,-0.5,-12.249999999999996,240,0,0.0,238,0.9916666666666667,26,0,2,96,122,0,20.0,0.7692307692307693,7.706982807540457,2,20.0,0.0,0,3.0,0.08965546821219664,0,6.0,0.6281814572701007,0,4.0,0.6440775780507906,2,33.0
305.0,-1.5,-12.549999999999997,244,0,0.0,242,0.9918032786885246,29,0,6,98,127,0,46.0,1.5862068965517242,9.259183130576618,2,30.0,0.5737820520331106,1,5.0,0.23347444550186425,1,4.0,0.739732806338062,2,9.0,0.1933189382982283,6,48.0
310.0,-0.75,-12.699999999999998,248,0,0.0,246,0.9919354838709677,31,0,3,101,132,0,17.0,0.5483870967741935,8.905406135385933,0,17.0,0.809711060579179,1,4.0,0.45744146042415756,1,9.0,0.3333937883397159,1,14.0,0.0462573897096654,3,44.0
315.0,-1.5,-12.999999999999998,252,0,0.0,250,0.9920634920634921,29,0,6,107,136,0,35.0,1.206896551724138,9.204790126736027,1,2.0,0.7556448513045765,1,11.0,0.7963881237456706,4,24.0,0.2970915285601938,0,6.0,0.7120170142861356,6,43.0
320.0,-1.0,-13.199999999999998,256,0,0.0,254,0.9921875,28,0,4,110,138,0,21.0,0.75,7.737537817452476,2,8.0,0.4071590078284521,0,2.0,0.7676756247226865,2,25.0,0.3169114943159165,0,2.0,0.5785260658648446,4,37.0
325.0,-2.0,-13.599999999999998,260,0,0.0,258,0.9923076923076923,32,0,8,111,143,0,47.0,1.46875,7.743059451562155,5,24.0,0.3098918114070724,1,5.0,0.6414561563165391,1,18.0,0.3921012695165035,1,7.0,0.6685959754217592,8,54.0
330.0,-1.5,-13.899999999999999,264,0,0.0,262,0.9924242424242424,31,0,6,114,145,0,22.0,0.7096774193548387,6.370386981125865,3,33.0,0.447637852073565,1,5.0,0.09036088943962517,2,7.0,0.3671017332801379,0,2.0,0.8702975670993544,6,47.0
335.0,-2.5,-14.399999999999999,268,0,0.0,266,0.9925373134328358,29,0,10,117,146,0,53.0,1.8275862068965518,6.164192869400636,3,29.0,0.26928453843273853,2,11.0,0.330834180698461,4,23.0,0.377983340356365,1,6.0,0.41636472505363686,10,69.0
340.0,-1.5,-14.7,272,0,0.0,270,0.9926470588235294,30,0,6,118,148,0,18.0,0.6,6.375840545273073,3,33.0,0.18664874726058037,1,11.0,0.4322403399589706,2,25.0,0.4026899875436169,0,5.0,0.6459617400002409,6,74.0
345.0,-1.5,-15.0,276,0,0.0,274,0.9927536231884058,30,0,6,120,150,0,31.0,1.0333333333333334,7.509138509775225,2,26.0,0.3761578841054015,2,15.0,0.5844490252980705,1,12.0,0.4250984175251673,1,6.0,0.4762896043461881,6,59.0
350.0,-0.75,-15.15,280,0,0.0,278,0.9928571428571429,30,0,3,120,150,0,4.0,0.13333333333333333,7.413366384519736,1,11.0,0.11999431826791344,1,16.0,0.5301969708359519,1,4.0,0.31549988290444314,0,4.0,0.6814783251852169,3,35.0
