step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
370.0,-1.5,0,0,0,0.0,0.0,26,0,6,113,139,0,80.0,3.076923076923077,8.631675604495296,0,25.0,0.5030421703866534,1,15.0,0.6459865026007611,3,36.0,0.5091060283182502,2,31.0,0.5996472518251577,6,107.0
375.0,-1.75,0,0,0,0.0,0.0,26,0,7,115,141,0,111.0,4.269230769230769,9.292824074674352,1,3.0,0.6680215974302866,1,20.0,0.4702704914533616,3,51.0,0.5710711692372954,2,41.0,0.6254128579663844,7,115.0
380.0,-1.75,0,0,0,0.0,0.0,27,0,7,116,143,0,146.0,5.407407407407407,9.35164759017949,1,6.0,0.6778676615455212,1,25.0,0.4858312980595812,3,65.0,0.564771254803264,2,50.0,0.5581570338437318,7,146.0
385.0,-2.0,0,0,0,0.0,0.0,28,0,8,117,145,0,184.0,6.571428571428571,8.366997887144628,2,14.0,0.3949078787226479,1,30.0,0.0,3,80.0,0.5108166160337951,2,60.0,0.3130800466912819,8,184.0
390.0,-2.5,0,0,0,0.0,0.0,27,0,10,121,148,0,231.0,8.555555555555555,7.504437249056532,4,31.0,0.3605892066225556,1,35.0,0.0,3,95.0,0.37308804509135285,2,70.0,0.30457498806647504,10,231.0
395.0,-2.75,0,0,0,0.0,0.0,24,0,11,125,149,0,286.0,11.916666666666666,6.063007702697647,5,56.0,0.27453929155037016,1,40.0,0.0,3,110.0,0.31673253686439257,2,80.0,0.0,11,286.0
400.0,-3.5,0,0,0,0.0,0.0,20,0,14,130,150,0,352.0,17.6,2.6154526084288205,7,87.0,0.0017673437689886633,1,45.0,0.0,4,130.0,0.2695696573070378,2,90.0,0.0,14,352.0
405.0,-4.25,0,0,0,0.0,0.0,19,0,17,132,151,0,433.0,22.789473684210527,0.9137773308111885,8,126.0,0.11015391883483086,1,50.0,0.0,6,157.0,0.030307907800209193,2,100.0,0.0,17,433.0
410.0,-1.25,0,0,0,0.0,0.0,19,0,5,132,151,0,47.0,2.473684210526316,4.5322279110222015,3,96.0,0.21824579232337296,0,0.0,0.6250065889970706,2,79.0,0.09741435346084276,0,0.0,0.7082808304598713,5,175.0
415.0,-0.5,0,0,0,0.0,0.0,21,0,2,132,153,0,32.0,1.5238095238095237,9.41591844451358,2,64.0,0.4214106987812559,0,1.0,0.9323905237757261,0,22.0,0.44785071351582256,0,1.0,0.8939842069239197,2,88.0
420.0,-0.75,0,0,0,0.0,0.0,23,0,3,133,156,0,47.0,2.0434782608695654,10.829743689964195,3,47.0,0.5102380387277088,0,1.0,0.8468310837944849,0,0.0,0.9298001313428935,0,1.0,0.8997647794088083,3,49.0
425.0,-0.75,0,0,0,0.0,0.0,24,0,3,135,159,0,62.0,2.5833333333333335,10.399436360454201,3,62.0,0.20967996203488673,0,0.0,0.8498649421152983,0,0.0,0.9426775261583225,0,0.0,0.9021652701984862,3,62.0
430.0,-1.25,0,0,0,0.0,0.0,26,0,5,135,161,0,80.0,3.076923076923077,10.013579062020739,5,80.0,0.167410244342844,0,0.0,0.9219407823244088,0,0.0,0.8932268042197702,0,0.0,0.8607193775584525,5,80.0
435.0,-1.25,0,0,0,0.0,0.0,21,0,5,140,161,0,105.0,5.0,8.782339361010537,5,105.0,0.15760762728510738,0,0.0,0.7015347525387237,0,0.0,1.0,0,0.0,0.8621073659926655,5,105.0
440.0,-1.5,0,0,0,0.0,0.0,23,0,6,141,164,0,133.0,5.782608695652174,8.723662148184525,5,130.0,0.32159862063726596,1,3.0,0.3256811266884339,0,0.0,1.0,0,0.0,0.8397873060577283,6,133.0
445.0,-2.0,0,0,0,0.0,0.0,19,0,8,147,166,0,169.0,8.894736842105264,4.995715711472066,6,159.0,0.19370396993184774,2,10.0,0.0008859258081697258,0,0.0,0.9405430851689862,0,0.0,0.17325161375255937,8,169.0
450.0,-3.25,0,0,0,0.0,0.0,19,0,13,149,168,0,220.0,11.578947368421053,3.8206570297801496,8,193.0,0.08816724275685385,2,20.0,0.3333333333333333,0,0.0,0.7900926678300783,3,7.0,0.0014722116703435135,13,220.0
455.0,-2.0,0,0,0,0.0,0.0,20,0,8,150,170,0,54.0,2.7,4.762603763721383,3,115.0,0.19842205845348918,0,0.0,0.9392806171431779,2,4.0,0.5333901587337121,3,22.0,0.1947699850348949,8,141.0
460.0,-2.0,0,0,0,0.0,0.0,22,0,8,150,172,0,76.0,3.4545454545454546,7.117697936076965,2,64.0,0.4863491980878756,0,0.0,0.9748000378099434,3,16.0,0.4932580320829792,3,38.0,0.373499806275394,8,118.0
465.0,-2.25,0,0,0,0.0,0.0,24,0,9,150,174,0,117.0,4.875,7.572190971534174,2,34.0,0.6334535238307567,0,0.0,0.9660830867728727,4,32.0,0.4754984907076148,3,53.0,0.366939075846059,9,119.0
470.0,-2.5,0,0,0,0.0,0.0,27,0,10,150,177,0,163.0,6.037037037037037,6.89625553893226,3,45.0,0.48051273386065735,0,0.0,1.0,4,51.0,0.37353298808098057,3,67.0,0.3727889906748754,10,163.0
475.0,-3.0,0,0,0,0.0,0.0,31,0,12,150,181,0,220.0,7.096774193548387,7.619815811340239,5,67.0,0.5062160831657975,0,0.0,0.9791599077703265,4,71.0,0.28030549747917805,3,82.0,0.22873895083686957,12,220.0
480.0,-3.25,0,0,0,0.0,0.0,28,0,13,153,181,0,281.0,10.035714285714286,6.401831082324885,6,93.0,0.2650663396827436,0,0.0,1.0,4,91.0,0.30032668340883045,3,97.0,0.0,13,281.0
485.0,-3.5,0,0,0,0.0,0.0,27,0,14,156,183,0,348.0,12.88888888888889,6.073225768958995,7,125.0,0.20767161557528568,0,0.0,0.9734726679781318,4,111.0,0.4145691921570063,3,112.0,0.23950109716602355,14,348.0
490.0,-3.75,0,0,0,0.0,0.0,26,0,15,159,185,0,419.0,16.115384615384617,4.252152521381909,8,161.0,0.1061068106451675,0,0.0,0.960932136691677,4,131.0,0.2943173366054107,3,127.0,0.08336512475232996,15,419.0
495.0,-4.5,0,0,0,0.0,0.0,24,0,18,161,185,0,504.0,21.0,1.199091047235494,8,201.0,0.000958275756051806,0,0.0,0.4923716876218775,6,160.0,0.12524871411340438,4,143.0,0.00033246511752776757,18,504.0
500.0,-2.5,0,0,0,0.0,0.0,26,0,10,161,187,0,91.0,3.5,3.667758252623613,4,135.0,0.17272434813767898,1,5.0,0.23581383474891981,4,99.0,0.1990844587837702,1,54.0,0.31351276549897644,10,293.0
505.0,-2.25,0,0,0,0.0,0.0,28,0,9,161,189,0,97.0,3.4642857142857144,7.471863932402387,2,90.0,0.41362040140234974,2,15.0,0.5614490342310341,4,47.0,0.25863449915837045,1,12.0,0.7323971270653419,9,164.0
510.0,-2.25,0,0,0,0.0,0.0,31,0,9,161,192,0,142.0,4.580645161290323,8.998706524289886,2,35.0,0.5597924692542976,2,25.0,0.615875659814599,4,67.0,0.3246229133178858,1,17.0,0.7267020978232067,9,144.0
515.0,-2.5,0,0,0,0.0,0.0,28,0,10,164,192,0,188.0,6.714285714285714,8.282895120014086,3,46.0,0.24039392731184175,2,34.0,0.6368105654567863,4,87.0,0.3236343575274384,1,21.0,0.696396195343675,10,188.0
520.0,-2.5,0,0,0,0.0,0.0,29,0,10,165,194,0,238.0,8.206896551724139,8.278180702272186,3,61.0,0.2497212014005209,2,44.0,0.6031025655848593,4,107.0,0.3219943789586172,1,26.0,0.48288246022340114,10,238.0
525.0,-2.5,0,0,0,0.0,0.0,27,0,10,168,195,0,288.0,10.666666666666666,7.825201485456942,3,76.0,0.22232592996370357,2,54.0,0.5103912602246383,4,127.0,0.31310149887284683,1,31.0,0.6647238110495879,10,288.0
530.0,-2.5,0,0,0,0.0,0.0,25,0,10,172,197,0,338.0,13.52,7.178980822562392,3,91.0,0.41320724776758233,2,64.0,0.1873006780561702,4,147.0,0.191858061973695,1,36.0,0.6252515654492768,10,338.0
535.0,-3.0,0,0,0,0.0,0.0,22,0,12,175,197,0,393.0,17.863636363636363,4.720244046572725,4,107.0,0.29919299729820914,3,78.0,4.390225829436579e-06,4,167.0,0.0024195376339305897,1,41.0,0.3248480666623926,12,393.0
